#cores  throughput  linear  actual
1       6306        1       1       
2       1685        2       0.27    
3       2281        3       0.36    
4       2840        4       0.45    
5       3361        5       0.53    
6       3993        6       0.63    
7       4368        7       0.69    
8       4831        8       0.77    
9       5311        9       0.84    
10      5813        10      0.92    
11      6282        11      1.00    
12      6795        12      1.08    
13      7092        13      1.12    
14      7596        14      1.20    
15      7962        15      1.26    
16      8273        16      1.31    
17      8630        17      1.37    
18      8480        18      1.34    
19      8956        19      1.42    
20      8581        20      1.36    
21      8651        21      1.37    
22      8691        22      1.38    
23      8626        23      1.37    
24      8425        24      1.34    
25      8388        25      1.33    
26      7990        26      1.27    
27      7967        27      1.26    
28      7867        28      1.25    
29      7637        29      1.21    
30      7460        30      1.18    
31      7299        31      1.16    
32      6862        32      1.09    
33      7141        33      1.13    
34      6344        34      1.01    
35      6549        35      1.04    
36      6558        36      1.04    
37      6318        37      1.00    
38      6604        38      1.05    
39      6201        39      0.98    
40      6148        40      0.97    
41      6020        41      0.95    
42      5075        42      0.80    
43      5867        43      0.93    
44      5851        44      0.93    
45      5193        45      0.82    
46      5532        46      0.88    
47      5079        47      0.81    
48      5418        48      0.86    
