#cores  throughput  linear  actual
1       6922589     1       1       
2       10424279    2       1.51    
3       11527251    3       1.67    
4       14321771    4       2.07    
5       15672511    5       2.26    
6       18081390    6       2.61    
7       20144223    7       2.91    
8       20709946    8       2.99    
9       22795960    9       3.29    
10      24274792    10      3.51    
11      25209452    11      3.64    
12      25797802    12      3.73    
13      27275287    13      3.94    
14      28309705    14      4.09    
15      29618232    15      4.28    
16      30017997    16      4.34    
17      30994785    17      4.48    
18      31964893    18      4.62    
19      32871805    19      4.75    
20      33288567    20      4.81    
21      34138756    21      4.93    
22      34694463    22      5.01    
23      36117460    23      5.22    
24      36106684    24      5.22    
25      37256928    25      5.38    
26      38414706    26      5.55    
27      38550074    27      5.57    
28      39396268    28      5.69    
29      38937049    29      5.62    
30      39889901    30      5.76    
31      40517180    31      5.85    
32      41076815    32      5.93    
33      41645320    33      6.02    
34      41060229    34      5.93    
35      43108296    35      6.23    
36      43393063    36      6.27    
37      43635819    37      6.30    
38      44536992    38      6.43    
39      44153713    39      6.38    
40      43117584    40      6.23    
41      42342041    41      6.12    
42      42655171    42      6.16    
43      44875432    43      6.48    
44      36969964    44      5.34    
45      43253261    45      6.25    
46      48300083    46      6.98    
47      40123050    47      5.80    
48      42369649    48      6.12    
