#cores  throughput  linear  actual
1       1289139     1       1       
2       2186950     2       1.70    
3       2933586     3       2.28    
4       3537244     4       2.74    
5       3870203     5       3.00    
6       4167580     6       3.23    
7       4295952     7       3.33    
8       4384844     8       3.40    
9       4444067     9       3.45    
10      4526592     10      3.51    
11      4549669     11      3.53    
12      4494983     12      3.49    
13      4540601     13      3.52    
14      4454631     14      3.46    
15      4423027     15      3.43    
16      4326833     16      3.36    
17      4292675     17      3.33    
18      4222672     18      3.28    
19      4131074     19      3.20    
20      4096898     20      3.18    
21      4002946     21      3.11    
22      3914263     22      3.04    
23      3902552     23      3.03    
24      3847118     24      2.98    
25      3826971     25      2.97    
26      3744251     26      2.90    
27      3706796     27      2.88    
28      3656950     28      2.84    
29      3630851     29      2.82    
30      3561722     30      2.76    
31      3562240     31      2.76    
32      3526862     32      2.74    
33      3469656     33      2.69    
34      3436004     34      2.67    
35      3414641     35      2.65    
36      3456065     36      2.68    
37      3410186     37      2.65    
38      3395223     38      2.63    
39      3405777     39      2.64    
40      3344328     40      2.59    
41      3265906     41      2.53    
42      3298341     42      2.56    
43      3324059     43      2.58    
44      3245808     44      2.52    
45      3278939     45      2.54    
46      3125841     46      2.42    
47      3150931     47      2.44    
48      3144379     48      2.44    
