#cores  throughput  linear  actual
1       4610218     1       1       
2       6899217     2       1.50    
3       8198023     3       1.78    
4       10178673    4       2.21    
5       11580274    5       2.51    
6       13449188    6       2.92    
7       15357405    7       3.33    
8       16434438    8       3.56    
9       18265044    9       3.96    
10      19951479    10      4.33    
11      21281284    11      4.62    
12      22620598    12      4.91    
13      23449001    13      5.09    
14      25694804    14      5.57    
15      26837174    15      5.82    
16      27887612    16      6.05    
17      29253786    17      6.35    
18      30503970    18      6.62    
19      31518698    19      6.84    
20      32728174    20      7.10    
21      33217064    21      7.21    
22      34516222    22      7.49    
23      35719754    23      7.75    
24      35576256    24      7.72    
25      37111457    25      8.05    
26      37977716    26      8.24    
27      38600047    27      8.37    
28      39960439    28      8.67    
29      40017508    29      8.68    
30      41654819    30      9.04    
31      41113304    31      8.92    
32      40844130    32      8.86    
33      41662964    33      9.04    
34      41387338    34      8.98    
35      44561730    35      9.67    
36      44126434    36      9.57    
37      41028382    37      8.90    
38      43370629    38      9.41    
39      42637947    39      9.25    
40      31315693    40      6.79    
41      37513211    41      8.14    
42      42690031    42      9.26    
43      41410082    43      8.98    
44      31746022    44      6.89    
45      24348499    45      5.28    
46      25690270    46      5.57    
47      25303579    47      5.49    
48      25351213    48      5.50    
