#cores  throughput  linear  actual
1       3049964     1       1       
2       5143614     2       1.69    
3       6322393     3       2.07    
4       7999611     4       2.62    
5       8960103     5       2.94    
6       10321551    6       3.38    
7       11544958    7       3.79    
8       12124354    8       3.98    
9       13189778    9       4.32    
10      14183950    10      4.65    
11      14662607    11      4.81    
12      15295928    12      5.02    
13      15870631    13      5.20    
14      16712676    14      5.48    
15      17100014    15      5.61    
16      17508500    16      5.74    
17      17710821    17      5.81    
18      18353573    18      6.02    
19      18348095    19      6.02    
20      19043908    20      6.24    
21      19398926    21      6.36    
22      19746561    22      6.47    
23      20009553    23      6.56    
24      20198802    24      6.62    
25      20589495    25      6.75    
26      20756324    26      6.81    
27      20894019    27      6.85    
28      21444654    28      7.03    
29      21074966    29      6.91    
30      21362206    30      7.00    
31      21582057    31      7.08    
32      21792408    32      7.15    
33      21926045    33      7.19    
34      22270891    34      7.30    
35      22324423    35      7.32    
36      21883412    36      7.17    
37      22125856    37      7.25    
38      22584557    38      7.40    
39      22943092    39      7.52    
40      22495491    40      7.38    
41      23170105    41      7.60    
42      22773723    42      7.47    
43      23381234    43      7.67    
44      23187264    44      7.60    
45      23280529    45      7.63    
46      23154038    46      7.59    
47      23514324    47      7.71    
48      22616888    48      7.42    
