#cores  throughput  linear  actual
1       1695641     1       1       
2       2773842     2       1.64    
3       3599929     3       2.12    
4       4157762     4       2.45    
5       4361289     5       2.57    
6       4499475     6       2.65    
7       4520316     7       2.67    
8       4535394     8       2.67    
9       4513988     9       2.66    
10      4598252     10      2.71    
11      4552538     11      2.68    
12      4575581     12      2.70    
13      4500874     13      2.65    
14      4447727     14      2.62    
15      4442145     15      2.62    
16      4349585     16      2.57    
17      4279887     17      2.52    
18      4207164     18      2.48    
19      4170405     19      2.46    
20      4060167     20      2.39    
21      4031906     21      2.38    
22      3938739     22      2.32    
23      3919862     23      2.31    
24      3842833     24      2.27    
25      3808116     25      2.25    
26      3767821     26      2.22    
27      3715481     27      2.19    
28      3682848     28      2.17    
29      3651619     29      2.15    
30      3569439     30      2.11    
31      3569126     31      2.10    
32      3513605     32      2.07    
33      3532192     33      2.08    
34      3510472     34      2.07    
35      3488542     35      2.06    
36      3486240     36      2.06    
37      3492246     37      2.06    
38      3386915     38      2.00    
39      3404813     39      2.01    
40      3331452     40      1.96    
41      3305034     41      1.95    
42      3305090     42      1.95    
43      3273182     43      1.93    
44      3209757     44      1.89    
45      3197768     45      1.89    
46      3203504     46      1.89    
47      3097227     47      1.83    
48      3077687     48      1.82    
