#cores  throughput  linear  actual
1       5395479     1       1       
2       7749168     2       1.44    
3       9003395     3       1.67    
4       11073358    4       2.05    
5       12545829    5       2.33    
6       14735260    6       2.73    
7       16405412    7       3.04    
8       17786024    8       3.30    
9       19726173    9       3.66    
10      20989346    10      3.89    
11      22605225    11      4.19    
12      23884681    12      4.43    
13      24706767    13      4.58    
14      26590972    14      4.93    
15      28371143    15      5.26    
16      29299284    16      5.43    
17      31109681    17      5.77    
18      31922135    18      5.92    
19      33265140    19      6.17    
20      33747025    20      6.25    
21      34875012    21      6.46    
22      36217577    22      6.71    
23      36353538    23      6.74    
24      38070652    24      7.06    
25      38924616    25      7.21    
26      37337221    26      6.92    
27      40286078    27      7.47    
28      41903364    28      7.77    
29      40582908    29      7.52    
30      40661547    30      7.54    
31      43135379    31      7.99    
32      42111527    32      7.80    
33      42290697    33      7.84    
34      43884500    34      8.13    
35      42441799    35      7.87    
36      43366175    36      8.04    
37      44105021    37      8.17    
38      36585637    38      6.78    
39      29302534    39      5.43    
40      42852007    40      7.94    
41      38672889    41      7.17    
42      36639460    42      6.79    
43      30745333    43      5.70    
44      24637402    44      4.57    
45      24369738    45      4.52    
46      24850510    46      4.61    
47      25463367    47      4.72    
48      25771987    48      4.78    
