cores  sl-herlihy  sl-pugh  sl-lf-fraser  sl-lf-herlihy  sl-seq 
1 4.619 4.831 3.944 4.231 4.505
9 33.627 35.505 28.908 30.851 34.610
17 53.521 55.082 45.280 48.188 58.999
25 71.413 76.157 58.576 67.371 82.247
33 93.923 89.205 72.916 80.162 101.579
41 106.426 103.571 82.794 95.713 120.824
49 124.118 112.162 89.197 107.764 134.060
57 133.600 125.242 101.823 114.839 146.786
65 142.087 133.696 108.086 128.774 158.712
73 157.002 145.379 113.522 140.612 171.092
